name,age,IP,W,L,ERA,FIP,k9,bb9,hr9
Paul Skenes,23,187.666666666667,10,10,1.96625222024867,2.36248985360533,10.3587921847247,2.01420959147425,0.52753108348135
Tarik Skubal,28,195.333333333333,13,6,2.21160409556314,2.44912956407884,11.1040955631399,1.52047781569966,0.829351535836178
Cristopher Sanchez,28,202,13,5,2.4950495049505,2.55097797417582,9.44554455445545,1.96039603960396,0.534653465346535
Logan Webb,28,207,15,11,3.21739130434783,2.60373542383383,9.73913043478261,2,0.608695652173913
Chris Sale,36,125.666666666667,7,5,2.57824933687003,2.67359792847895,11.816976127321,2.29177718832891,0.787798408488064
Nathan Eovaldi,35,130,11,3,1.73076923076923,2.79667485155587,8.93076923076923,1.45384615384615,0.692307692307692
Trevor Rogers,27,109.666666666667,9,3,1.80547112462006,2.8159874538472,8.45288753799392,2.37993920972644,0.492401215805471
Garrett Crochet,26,205.333333333333,18,5,2.58603896103896,2.88675976664078,11.1769480519481,2.01623376623377,1.05194805194805
Kris Bubic,27,116.333333333333,8,7,2.55300859598854,2.89444871093431,8.97421203438396,3.01719197707736,0.464183381088825
Jesus Luzardo,27,183.666666666667,15,7,3.92014519056261,2.89557196170525,10.5843920145191,2.79310344827586,0.784029038112523
Yoshinobu Yamamoto,26,173.666666666667,12,8,2.48752399232246,2.93935903876981,10.4165067178503,3.05758157389635,0.72552783109405
Zack Wheeler,35,149.666666666667,10,5,2.70601336302895,3.00150610048511,11.7260579064588,1.98440979955457,1.14253897550111
Max Fried,31,195.333333333333,19,5,2.85665529010239,3.06858348899352,8.70819112627986,2.34982935153584,0.645051194539249
Hunter Brown,26,185.333333333333,12,9,2.42805755395683,3.14053207347065,10.0035971223022,2.76798561151079,0.825539568345324
Janson Junk,29,110,6,4,4.17272727272727,3.14422729910832,6.3,1.06363636363636,0.654545454545455
Ranger Suarez,29,157.333333333333,12,8,3.20338983050847,3.21140757645809,8.63771186440678,2.17372881355932,0.800847457627119
Spencer Schwellenbach,25,110.666666666667,7,4,3.09036144578313,3.25260626953548,8.78313253012048,1.46385542168675,1.05722891566265
Hunter Greene,25,107.666666666667,7,4,2.75851393188855,3.27445527546632,11.0340557275542,2.1733746130031,1.25386996904025
Logan Gilbert,28,131,6,6,3.43511450381679,3.34887684803268,11.8854961832061,2.12977099236641,1.37404580152672
George Kirby,27,126,10,8,4.21428571428571,3.36529512017614,9.78571428571429,2.07142857142857,1.07142857142857
Framber Valdez,31,192,13,11,3.65625,3.37471972335074,8.765625,3.1875,0.703125
Sonny Gray,35,180.666666666667,14,8,4.28413284132841,3.38974893614287,10.0129151291513,1.8929889298893,1.24538745387454
Kevin Gausman,34,193,10,11,3.59067357512953,3.4149291361314,8.81347150259067,2.33160621761658,0.979274611398964
Bryan Woo,25,186.666666666667,15,7,2.94107142857143,3.46727924716027,9.54642857142857,1.73571428571429,1.25357142857143
David Peterson,29,168.666666666667,9,6,4.21541501976285,3.48493876155891,8.00395256916996,3.46837944664032,0.586956521739131
Nick Pivetta,32,181.666666666667,13,5,2.87339449541284,3.49293455515502,9.41284403669725,2.47706422018349,1.08990825688073
Chad Patrick,26,119.666666666667,3,8,3.53481894150418,3.52789405018454,9.55153203342618,3.008356545961,0.977715877437326
Clayton Kershaw,37,112.666666666667,11,2,3.35502958579882,3.55229615333102,6.71005917159763,2.79585798816568,0.63905325443787
Dylan Cease,29,168,8,12,4.55357142857143,3.55775543763646,11.5178571428571,3.80357142857143,1.125
Cade Horton,23,118,11,4,2.66949152542373,3.58428893239029,7.39830508474576,2.51694915254237,0.76271186440678
Freddy Peralta,29,176.666666666667,17,6,2.7,3.64457035228156,10.3924528301887,3.3622641509434,1.06981132075472
Jacob deGrom,37,172.666666666667,12,8,2.97104247104247,3.64478889966992,9.64285714285714,1.92857142857143,1.35521235521236
Matt Boyd,34,179.666666666667,14,8,3.20593692022264,3.64719575921963,7.71428571428571,2.1038961038961,0.951762523191095
Michael Wacha,33,172.666666666667,10,13,3.85714285714286,3.65637191125293,6.56756756756757,2.34555984555985,0.781853281853282
Andrew Abbott,26,166.333333333333,10,7,2.86773547094188,3.65818248220178,8.06212424849699,2.32665330661323,1.02805611222445
Ryne Nelson,27,154,7,3,3.38961038961039,3.73253898742001,7.71428571428571,2.3961038961039,0.993506493506494
José Soriano,26,169,10,11,4.2603550295858,3.73276952611208,8.09467455621302,4.15384615384615,0.63905325443787
Joe Ryan,29,171,13,10,3.42105263157895,3.73747557130396,10.2105263157895,2.05263157894737,1.36842105263158
MacKenzie Gore,26,159.666666666667,5,15,4.17118997912317,3.74265204763745,10.4279749478079,3.60751565762004,1.12734864300626
Merrill Kelly,36,184,12,9,3.52173913043478,3.76013639001741,8.16847826086957,2.34782608695652,1.125
Carlos Rodon,32,195.333333333333,18,9,3.08703071672355,3.78018758455666,9.35324232081911,3.36348122866894,1.01365187713311
Adrian Houser,32,125,8,5,3.312,3.80713639001741,6.624,2.736,0.72
Nick Lodolo,27,156.666666666667,9,8,3.33191489361702,3.81173213469826,8.96170212765957,1.78085106382979,1.26382978723404
Stephen Kolek,28,112.666666666667,5,7,3.51479289940828,3.81856834268013,6.1508875739645,2.47633136094675,0.718934911242604
Edward Cabrera,27,137.666666666667,8,7,3.53026634382567,3.82520902924259,9.80629539951574,3.13801452784504,1.11138014527845
Drew Rasmussen,29,150,10,5,2.76,3.84180305668407,7.62,2.22,1.08
Justin Verlander,42,152,4,11,3.84868421052632,3.84566270580688,8.11184210526316,3.07894736842105,0.947368421052632
Jack Flaherty,29,161,8,15,4.63975155279503,3.84942210430312,10.5093167701863,3.29813664596273,1.28571428571429
Eric Lauer,30,104.666666666667,9,2,3.18152866242038,3.85169689957155,8.77070063694267,2.23566878980892,1.28980891719745
Luis Castillo,32,180.666666666667,11,8,3.53690036900369,3.87683380699158,8.07011070110701,2.29151291512915,1.14575645756458
Casey Mize,28,149,14,6,3.86577181208054,3.8868142423664,8.39597315436242,2.1744966442953,1.26845637583893
Landen Roupp,26,106.666666666667,7,7,3.796875,3.91326139001741,8.60625,3.796875,0.928125
Robbie Ray,33,182.333333333333,11,8,3.6526508226691,3.93038319074867,9.18098720292505,3.60329067641682,1.08592321755027
Dean Kremer,29,171.666666666667,11,10,4.19417475728155,3.96814609875527,7.44466019417476,2.35922330097087,1.15339805825243
Brady Singer,28,169.666666666667,14,12,4.03143418467584,3.97796546663823,8.64636542239686,3.18271119842829,1.00785854616896
Chris Bassitt,36,170.333333333333,11,9,3.96281800391389,4.0098917716221,8.77103718199609,2.74755381604697,1.16242661448141
Quinn Priester,24,157.333333333333,13,3,3.31779661016949,4.0122550340852,7.55084745762712,2.86016949152542,1.02966101694915
Mitch Keller,29,176.333333333333,6,15,4.18525519848771,4.01982448075465,7.65595463137996,2.60302457466919,1.07183364839319
Matthew Liberatore,25,151.666666666667,8,12,4.21318681318681,4.0252462801273,7.23956043956044,2.37362637362637,1.12747252747253
Will Warren,26,162.333333333333,9,8,4.435318275154,4.06532119494554,9.48049281314168,3.60369609856263,1.21971252566735
Ben Brown,25,106.333333333333,5,8,5.92476489028213,4.07557526149076,10.2413793103448,2.70846394984326,1.52351097178683
